,Position,Track Name,Streams,Chart Start Date,Chart End Date,Album Name,Release Date,Artist,Features,Song Duration(ms),Explicit,Url
0,1, Easy On Me by Adele ,"57,081,735",2021-10-22,2021-10-29,Easy On Me,2021-10-14,Adele,None,224694,False,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
1,2, STAY (with Justin Bieber) by The Kid LAROI ,"43,772,708",2021-10-22,2021-10-29,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,3, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"38,131,363",2021-10-22,2021-10-29,MONTERO,2021-09-17,Lil Nas X,Jack Harlow,212352,True,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,4, Heat Waves by Glass Animals ,"30,071,945",2021-10-22,2021-10-29,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,5, MONEY by LISA ,"27,961,856",2021-10-22,2021-10-29,LALISA,2021-09-10,LISA,None,168227,False,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
5,6," Cold Heart - PNAU Remix by Elton John, Dua Lipa ","27,674,586",2021-10-22,2021-10-29,The Lockdown Sessions,2021-10-22,Elton John,"Dua Lipa,PNAU",202735,False,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,7, Moth To A Flame (with The Weeknd) by Swedish House Mafia ,"27,137,069",2021-10-22,2021-10-29,Moth To A Flame,2021-10-22,Swedish House Mafia,The Weeknd,234000,False,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
7,8, Shivers by Ed Sheeran ,"26,334,187",2021-10-22,2021-10-29,Shivers,2021-09-13,Ed Sheeran,None,207853,False,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
8,9," My Universe by Coldplay, BTS ","25,632,159",2021-10-22,2021-10-29,Music Of The Spheres,2021-10-15,Coldplay,BTS,226198,False,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
9,10, Pepas by Farruko ,"25,389,829",2021-10-22,2021-10-29,La 167,2021-10-01,Farruko,None,287120,True,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
10,11, Bad Habits by Ed Sheeran ,"25,037,944",2021-10-22,2021-10-29,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
11,12, Woman by Doja Cat ,"23,187,278",2021-10-22,2021-10-29,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,13, love nwantiti (ah ah ah) by CKay ,"21,602,782",2021-10-22,2021-10-29,CKay The First,2019-08-30,CKay,None,145800,True,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
13,14, love nwantiti (feat. Dj Yo! & AX'EL) - Remix by CKay ,"20,904,632",2021-10-22,2021-10-29,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,CKay,"DJ Yo,AX'EL",188368,False,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
14,15, THATS WHAT I WANT by Lil Nas X ,"19,629,995",2021-10-22,2021-10-29,MONTERO,2021-09-17,Lil Nas X,None,143901,True,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
15,16, good 4 u by Olivia Rodrigo ,"19,615,891",2021-10-22,2021-10-29,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
16,17, Beggin' by Måneskin ,"19,093,598",2021-10-22,2021-10-29,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
17,18, Need to Know by Doja Cat ,"18,735,754",2021-10-22,2021-10-29,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
18,19, Life Goes On by Oliver Tree ,"18,033,866",2021-10-22,2021-10-29,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,Oliver Tree,None,161803,False,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
19,20, MONTERO (Call Me By Your Name) by Lil Nas X ,"17,707,419",2021-10-22,2021-10-29,MONTERO,2021-09-17,Lil Nas X,None,137704,True,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
20,21, Lo Siento BB:/ (with Bad Bunny & Julieta Venegas) by Tainy ,"17,479,060",2021-10-22,2021-10-29,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Tainy,"Bad Bunny,Julieta Venegas",207301,False,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
21,22, Kiss Me More (feat. SZA) by Doja Cat ,"16,903,484",2021-10-22,2021-10-29,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,23, Happier Than Ever by Billie Eilish ,"16,337,007",2021-10-22,2021-10-29,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
23,24," Meet Me At Our Spot by THE ANXIETY, WILLOW, Tyler Cole ","14,407,480",2021-10-22,2021-10-29,THE ANXIETY,2020-03-13,THE ANXIETY,"WILLOW,Tyler Cole",162680,True,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
24,25, traitor by Olivia Rodrigo ,"13,885,924",2021-10-22,2021-10-29,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
25,26, Yonaguni by Bad Bunny ,"13,772,019",2021-10-22,2021-10-29,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
26,27, Levitating (feat. DaBaby) by Dua Lipa ,"13,423,842",2021-10-22,2021-10-29,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,28, Blinding Lights by The Weeknd ,"13,224,267",2021-10-22,2021-10-29,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,29," Where Are You Now by Lost Frequencies, Calum Scott ","12,984,890",2021-10-22,2021-10-29,Where Are You Now,2021-07-30,Lost Frequencies,Calum Scott,148197,False,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
29,30, Way 2 Sexy (with Future & Young Thug) by Drake ,"12,916,861",2021-10-22,2021-10-29,Certified Lover Boy,2021-09-03,Drake,"Future,Young Thug",257604,True,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
30,1, Easy On Me by Adele ,"84,952,932",2021-10-15,2021-10-22,Easy On Me,2021-10-14,Adele,None,224694,False,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
31,2, STAY (with Justin Bieber) by The Kid LAROI ,"46,083,756",2021-10-15,2021-10-22,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
32,3, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"39,049,971",2021-10-15,2021-10-22,MONTERO,2021-09-17,Lil Nas X,Jack Harlow,212352,True,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
33,4, Heat Waves by Glass Animals ,"30,283,212",2021-10-15,2021-10-22,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
34,5," My Universe by Coldplay, BTS ","27,587,042",2021-10-15,2021-10-22,Music Of The Spheres,2021-10-15,Coldplay,BTS,226198,False,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
35,6, Shivers by Ed Sheeran ,"26,564,115",2021-10-15,2021-10-22,Shivers,2021-09-13,Ed Sheeran,None,207853,False,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
36,7, Bad Habits by Ed Sheeran ,"26,279,377",2021-10-15,2021-10-22,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
37,8, MONEY by LISA ,"26,216,775",2021-10-15,2021-10-22,LALISA,2021-09-10,LISA,None,168227,False,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
38,9, Pepas by Farruko ,"25,757,960",2021-10-15,2021-10-22,La 167,2021-10-01,Farruko,None,287120,True,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
39,10," Cold Heart - PNAU Remix by Elton John, Dua Lipa ","25,367,124",2021-10-15,2021-10-22,Cold Heart (PNAU Remix),2021-08-13,Elton John,"Dua Lipa,PNAU",202735,False,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
40,11, Woman by Doja Cat ,"23,829,367",2021-10-15,2021-10-22,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
41,12, love nwantiti (ah ah ah) by CKay ,"22,218,182",2021-10-15,2021-10-22,CKay The First,2019-08-30,CKay,None,145800,True,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
42,13, good 4 u by Olivia Rodrigo ,"20,532,099",2021-10-15,2021-10-22,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
43,14, love nwantiti (feat. Dj Yo! & AX'EL) - Remix by CKay ,"20,255,491",2021-10-15,2021-10-22,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,CKay,"DJ Yo,AX'EL",188368,False,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
44,15, THATS WHAT I WANT by Lil Nas X ,"20,153,669",2021-10-15,2021-10-22,MONTERO,2021-09-17,Lil Nas X,None,143901,True,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
45,16, Beggin' by Måneskin ,"19,917,756",2021-10-15,2021-10-22,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
46,17, Life Goes On by Oliver Tree ,"19,128,900",2021-10-15,2021-10-22,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,Oliver Tree,None,161803,False,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
47,18, Lo Siento BB:/ (with Bad Bunny & Julieta Venegas) by Tainy ,"18,991,457",2021-10-15,2021-10-22,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Tainy,"Bad Bunny,Julieta Venegas",207301,False,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
48,19, Need to Know by Doja Cat ,"18,861,612",2021-10-15,2021-10-22,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
49,20, MONTERO (Call Me By Your Name) by Lil Nas X ,"18,679,751",2021-10-15,2021-10-22,MONTERO,2021-09-17,Lil Nas X,None,137704,True,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
50,21, Happier Than Ever by Billie Eilish ,"17,201,321",2021-10-15,2021-10-22,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
51,22, Kiss Me More (feat. SZA) by Doja Cat ,"17,019,344",2021-10-15,2021-10-22,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
52,23, Yonaguni by Bad Bunny ,"14,191,796",2021-10-15,2021-10-22,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
53,24, Way 2 Sexy (with Future & Young Thug) by Drake ,"13,959,922",2021-10-15,2021-10-22,Certified Lover Boy,2021-09-03,Drake,"Future,Young Thug",257604,True,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
54,25," Meet Me At Our Spot by THE ANXIETY, WILLOW, Tyler Cole ","13,873,083",2021-10-15,2021-10-22,THE ANXIETY,2020-03-13,THE ANXIETY,"WILLOW,Tyler Cole",162680,True,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
55,26, Levitating (feat. DaBaby) by Dua Lipa ,"13,686,030",2021-10-15,2021-10-22,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
56,27, traitor by Olivia Rodrigo ,"13,536,081",2021-10-15,2021-10-22,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
57,28," Let Somebody Go by Coldplay, Selena Gomez ","13,425,297",2021-10-15,2021-10-22,Music Of The Spheres,2021-10-15,Coldplay,Selena Gomez,241595,False,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
58,29, Todo De Ti by Rauw Alejandro ,"13,050,759",2021-10-15,2021-10-22,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
59,30," Volví by Aventura, Bad Bunny ","12,783,596",2021-10-15,2021-10-22,Volví,2021-08-03,Aventura,Bad Bunny,230125,True,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
60,1, STAY (with Justin Bieber) by The Kid LAROI ,"48,121,006",2021-10-08,2021-10-15,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
61,2, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"40,784,125",2021-10-08,2021-10-15,MONTERO,2021-09-17,Lil Nas X,Jack Harlow,212352,True,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
62,3, Heat Waves by Glass Animals ,"30,179,865",2021-10-08,2021-10-15,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
63,4, Bad Habits by Ed Sheeran ,"26,881,618",2021-10-08,2021-10-15,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
64,5, Pepas by Farruko ,"26,767,707",2021-10-08,2021-10-15,La 167,2021-10-01,Farruko,None,287120,True,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
65,6, Shivers by Ed Sheeran ,"25,265,408",2021-10-08,2021-10-15,Shivers,2021-09-13,Ed Sheeran,None,207853,False,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
66,7, Woman by Doja Cat ,"24,464,198",2021-10-08,2021-10-15,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
67,8," My Universe by Coldplay, BTS ","24,081,668",2021-10-08,2021-10-15,My Universe,2021-09-24,Coldplay,BTS,228000,False,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
68,9, MONEY by LISA ,"23,895,854",2021-10-08,2021-10-15,LALISA,2021-09-10,LISA,None,168227,False,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
69,10," Cold Heart - PNAU Remix by Elton John, Dua Lipa ","23,314,757",2021-10-08,2021-10-15,Cold Heart (PNAU Remix),2021-08-13,Elton John,"Dua Lipa,PNAU",202735,False,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
70,11, love nwantiti (ah ah ah) by CKay ,"22,746,839",2021-10-08,2021-10-15,CKay The First,2019-08-30,CKay,None,145800,True,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
71,12, Lo Siento BB:/ (with Bad Bunny & Julieta Venegas) by Tainy ,"22,347,970",2021-10-08,2021-10-15,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Tainy,"Bad Bunny,Julieta Venegas",207301,False,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
72,13, good 4 u by Olivia Rodrigo ,"21,408,273",2021-10-08,2021-10-15,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
73,14, Beggin' by Måneskin ,"21,387,312",2021-10-08,2021-10-15,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
74,15, THATS WHAT I WANT by Lil Nas X ,"21,183,958",2021-10-08,2021-10-15,MONTERO,2021-09-17,Lil Nas X,None,143901,True,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
75,16, love nwantiti (feat. Dj Yo! & AX'EL) - Remix by CKay ,"20,081,217",2021-10-08,2021-10-15,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,CKay,"DJ Yo,AX'EL",188368,False,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
76,17, Life Goes On by Oliver Tree ,"19,778,359",2021-10-08,2021-10-15,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,Oliver Tree,None,161803,False,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
77,18, MONTERO (Call Me By Your Name) by Lil Nas X ,"19,727,824",2021-10-08,2021-10-15,MONTERO,2021-09-17,Lil Nas X,None,137704,True,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
78,19, Need to Know by Doja Cat ,"19,608,228",2021-10-08,2021-10-15,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
79,20, Happier Than Ever by Billie Eilish ,"18,221,604",2021-10-08,2021-10-15,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
80,21, Kiss Me More (feat. SZA) by Doja Cat ,"17,465,717",2021-10-08,2021-10-15,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
81,22, Way 2 Sexy (with Future & Young Thug) by Drake ,"15,465,015",2021-10-08,2021-10-15,Certified Lover Boy,2021-09-03,Drake,"Future,Young Thug",257604,True,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
82,23, Yonaguni by Bad Bunny ,"14,985,948",2021-10-08,2021-10-15,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
83,24, traitor by Olivia Rodrigo ,"14,061,400",2021-10-08,2021-10-15,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
84,25, Levitating (feat. DaBaby) by Dua Lipa ,"13,886,985",2021-10-08,2021-10-15,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
85,26, Todo De Ti by Rauw Alejandro ,"13,785,297",2021-10-08,2021-10-15,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
86,27," Volví by Aventura, Bad Bunny ","13,668,756",2021-10-08,2021-10-15,Volví,2021-08-03,Aventura,Bad Bunny,230125,True,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
87,28, Knife Talk (with 21 Savage ft. Project Pat) by Drake ,"13,371,705",2021-10-08,2021-10-15,Certified Lover Boy,2021-09-03,Drake,"21 Savage,Project Pat",242965,True,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
88,29, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"13,341,187",2021-10-08,2021-10-15,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
89,30," Meet Me At Our Spot by THE ANXIETY, WILLOW, Tyler Cole ","13,059,339",2021-10-08,2021-10-15,THE ANXIETY,2020-03-13,THE ANXIETY,"WILLOW,Tyler Cole",162680,True,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
90,1, STAY (with Justin Bieber) by The Kid LAROI ,"51,042,131",2021-10-01,2021-10-08,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
91,2, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"43,645,835",2021-10-01,2021-10-08,MONTERO,2021-09-17,Lil Nas X,Jack Harlow,212352,True,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
92,3, Heat Waves by Glass Animals ,"30,574,121",2021-10-01,2021-10-08,Dreamland (+ Bonus Levels),2020-08-06,Glass Animals,None,238805,False,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
93,4, Pepas by Farruko ,"27,766,881",2021-10-01,2021-10-08,La 167,2021-10-01,Farruko,None,287120,True,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
94,5, Bad Habits by Ed Sheeran ,"27,341,501",2021-10-01,2021-10-08,Bad Habits,2021-06-25,Ed Sheeran,None,231041,False,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
95,6," My Universe by Coldplay, BTS ","26,193,721",2021-10-01,2021-10-08,My Universe,2021-09-24,Coldplay,BTS,228000,False,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
96,7, Woman by Doja Cat ,"25,839,640",2021-10-01,2021-10-08,Planet Her,2021-06-25,Doja Cat,None,172626,True,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
97,8, Shivers by Ed Sheeran ,"25,113,274",2021-10-01,2021-10-08,Shivers,2021-09-13,Ed Sheeran,None,207853,False,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
98,9, love nwantiti (ah ah ah) by CKay ,"22,661,454",2021-10-01,2021-10-08,CKay The First,2019-08-30,CKay,None,145800,True,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
99,10, THATS WHAT I WANT by Lil Nas X ,"22,631,771",2021-10-01,2021-10-08,MONTERO,2021-09-17,Lil Nas X,None,143901,True,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
100,11, good 4 u by Olivia Rodrigo ,"22,522,614",2021-10-01,2021-10-08,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
101,12, Beggin' by Måneskin ,"22,486,124",2021-10-01,2021-10-08,Chosen,2017-12-08,Måneskin,None,211560,False,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
102,13, MONTERO (Call Me By Your Name) by Lil Nas X ,"21,487,844",2021-10-01,2021-10-08,MONTERO,2021-09-17,Lil Nas X,None,137704,True,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
103,14," Cold Heart - PNAU Remix by Elton John, Dua Lipa ","21,042,246",2021-10-01,2021-10-08,Cold Heart (PNAU Remix),2021-08-13,Elton John,"Dua Lipa,PNAU",202735,False,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
104,15, Life Goes On by Oliver Tree ,"20,447,801",2021-10-01,2021-10-08,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,Oliver Tree,None,161803,False,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
105,16, MONEY by LISA ,"20,203,519",2021-10-01,2021-10-08,LALISA,2021-09-10,LISA,None,168227,False,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
106,17, love nwantiti (feat. Dj Yo! & AX'EL) - Remix by CKay ,"19,860,629",2021-10-01,2021-10-08,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,CKay,"DJ Yo,AX'EL",188368,False,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
107,18, Need to Know by Doja Cat ,"19,703,877",2021-10-01,2021-10-08,Planet Her,2021-06-25,Doja Cat,None,210560,True,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
108,19, Happier Than Ever by Billie Eilish ,"19,293,283",2021-10-01,2021-10-08,Happier Than Ever,2021-07-30,Billie Eilish,None,298899,True,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
109,20, Kiss Me More (feat. SZA) by Doja Cat ,"18,120,381",2021-10-01,2021-10-08,Planet Her,2021-06-25,Doja Cat,SZA,208666,True,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
110,21, Way 2 Sexy (with Future & Young Thug) by Drake ,"17,718,637",2021-10-01,2021-10-08,Certified Lover Boy,2021-09-03,Drake,"Future,Young Thug",257604,True,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
111,22, Yonaguni by Bad Bunny ,"15,556,824",2021-10-01,2021-10-08,Yonaguni,2021-06-04,Bad Bunny,None,206710,True,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
112,23, Todo De Ti by Rauw Alejandro ,"14,671,500",2021-10-01,2021-10-08,VICE VERSA,2021-06-25,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
113,24, traitor by Olivia Rodrigo ,"14,659,550",2021-10-01,2021-10-08,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
114,25, Levitating (feat. DaBaby) by Dua Lipa ,"14,430,748",2021-10-01,2021-10-08,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
115,26, Fair Trade (with Travis Scott) by Drake ,"14,317,808",2021-10-01,2021-10-08,Certified Lover Boy,2021-09-03,Drake,Travis Scott,291175,True,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
116,27, Knife Talk (with 21 Savage ft. Project Pat) by Drake ,"14,249,643",2021-10-01,2021-10-08,Certified Lover Boy,2021-09-03,Drake,"21 Savage,Project Pat",242965,True,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
117,28," Volví by Aventura, Bad Bunny ","14,111,444",2021-10-01,2021-10-08,Volví,2021-08-03,Aventura,Bad Bunny,230125,True,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
118,29," In Da Getto by J Balvin, Skrillex ","13,278,632",2021-10-01,2021-10-08,JOSE,2021-09-10,J Balvin,Skrillex,130666,False,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
119,30, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"13,147,606",2021-10-01,2021-10-08,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
120,1, STAY (with Justin Bieber) by The Kid LAROI ,"55,885,730",2021-09-24,2021-10-01,F*CK LOVE 3: OVER YOU,2021-07-23,The Kid LAROI,Justin Bieber,141805,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
121,2, INDUSTRY BABY (feat. Jack Harlow) by Lil Nas X ,"47,510,601",2021-09-24,2021-10-01,MONTERO,2021-09-17,Lil Nas X,Jack Harlow,212352,True,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
