,Position,Track Name,Streams,Chart Start Date,Chart End Date,Album Name,Release Date,Artist,Features,Song Duration(ms),Explicit,Url
626,27," AM by Nio Garcia, Flow La Movie ","16,415,477",2021-06-04,2021-06-11,AM,2021-01-28,Nio Garcia,Flow La Movie,182496,True,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
627,28," DÁKITI by Bad Bunny, Jhay Cortez ","15,590,654",2021-06-04,2021-06-11,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,Jhay Cortez,205090,True,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
628,29," jealousy, jealousy by Olivia Rodrigo ","15,279,462",2021-06-04,2021-06-11,SOUR,2021-05-21,Olivia Rodrigo,None,173160,False,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
629,30, enough for you by Olivia Rodrigo ,"15,126,774",2021-06-04,2021-06-11,SOUR,2021-05-21,Olivia Rodrigo,None,202826,False,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
630,1, good 4 u by Olivia Rodrigo ,"77,001,868",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
631,2, Todo De Ti by Rauw Alejandro ,"47,564,794",2021-05-28,2021-06-04,Todo De Ti,2021-05-20,Rauw Alejandro,None,199604,True,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
632,3, Butter by BTS ,"43,335,561",2021-05-28,2021-06-04,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,BTS,None,164441,False,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
633,4, deja vu by Olivia Rodrigo ,"38,689,290",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
634,5, MONTERO (Call Me By Your Name) by Lil Nas X ,"37,726,845",2021-05-28,2021-06-04,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
635,6, Kiss Me More (feat. SZA) by Doja Cat ,"36,559,450",2021-05-28,2021-06-04,Kiss Me More (feat. SZA),2021-04-09,Doja Cat,SZA,208866,True,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
636,7, Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber ,"31,295,523",2021-05-28,2021-06-04,Justice,2021-03-19,Justin Bieber,"Daniel Caesar,Giveon",198081,True,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
637,8, traitor by Olivia Rodrigo ,"30,126,699",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,229226,False,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
638,9, drivers license by Olivia Rodrigo ,"29,159,682",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
639,10, Levitating (feat. DaBaby) by Dua Lipa ,"28,790,897",2021-05-28,2021-06-04,Future Nostalgia,2020-03-27,Dua Lipa,DaBaby,203064,False,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
640,11, favorite crime by Olivia Rodrigo ,"23,590,447",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,152666,False,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
641,12, ZITTI E BUONI by Måneskin ,"23,017,312",2021-05-28,2021-06-04,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,194786,True,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
642,13, Save Your Tears (with Ariana Grande) (Remix) by The Weeknd ,"22,645,140",2021-05-28,2021-06-04,Save Your Tears (Remix),2021-04-23,The Weeknd,Ariana Grande,191013,False,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
643,14, Astronaut In The Ocean by Masked Wolf ,"22,522,270",2021-05-28,2021-06-04,Astronaut In The Ocean (International Remixes),2019-01-01,Masked Wolf,None,132780,True,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
644,15, brutal by Olivia Rodrigo ,"22,467,899",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,143746,True,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
645,16, happier by Olivia Rodrigo ,"22,359,732",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,175933,True,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
646,17," Leave The Door Open by Bruno Mars, Anderson .Paak, Silk Sonic ","22,042,893",2021-05-28,2021-06-04,Leave The Door Open,2021-03-05,Bruno Mars,"Anderson .Paak,Silk Sonic",242096,False,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
647,18," Fiel by Los Legendarios, Wisin, Jhay Cortez ","21,823,643",2021-05-28,2021-06-04,Los Legendarios 001,2021-02-04,Los Legendarios,"Wisin,Jhay Cortez",261665,False,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
648,19," Pareja Del Año by Sebastian Yatra, Myke Towers ","21,170,884",2021-05-28,2021-06-04,Pareja Del Año,2021-04-16,Sebastian Yatra,Myke Towers,195053,False,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
649,20, enough for you by Olivia Rodrigo ,"19,803,175",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,202826,False,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
650,21, Build a Bitch by Bella Poarch ,"19,087,081",2021-05-28,2021-06-04,Build a Bitch,2021-05-14,Bella Poarch,None,122772,True,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
651,22, RAPSTAR by Polo G ,"18,191,446",2021-05-28,2021-06-04,RAPSTAR,2021-04-09,Polo G,None,165925,True,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
652,23," Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit by Riton, Nightcrawlers ","18,032,506",2021-05-28,2021-06-04,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,Riton,"Nightcrawlers,Mufasa & Hypeman,Dopamine",169153,False,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
653,24, I WANNA BE YOUR SLAVE by Måneskin ,"17,790,440",2021-05-28,2021-06-04,Teatro d'ira - Vol. I,2021-03-19,Måneskin,None,173346,True,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
654,25," AM by Nio Garcia, Flow La Movie ","17,196,023",2021-05-28,2021-06-04,AM,2021-01-28,Nio Garcia,Flow La Movie,182496,True,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
655,26," jealousy, jealousy by Olivia Rodrigo ","17,153,135",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,173160,False,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
656,27, Blinding Lights by The Weeknd ,"17,135,985",2021-05-28,2021-06-04,After Hours,2020-03-20,The Weeknd,None,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
657,28," 1 step forward, 3 steps back by Olivia Rodrigo ","16,885,576",2021-05-28,2021-06-04,SOUR,2021-05-21,Olivia Rodrigo,None,163586,True,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
658,29, Dynamite by BTS ,"15,906,005",2021-05-28,2021-06-04,BE,2020-11-20,BTS,None,199053,False,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
659,30," DÁKITI by Bad Bunny, Jhay Cortez ","14,626,955",2021-05-28,2021-06-04,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,Bad Bunny,Jhay Cortez,205090,True,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
660,1, good 4 u by Olivia Rodrigo ,"84,131,760",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,178146,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
661,2, Butter by BTS ,"58,122,349",2021-05-21,2021-05-28,"Butter (Hotter, Sweeter, Cooler)",2021-06-04,BTS,None,164441,False,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
662,3, deja vu by Olivia Rodrigo ,"45,060,633",2021-05-21,2021-05-28,SOUR,2021-05-21,Olivia Rodrigo,None,215506,True,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
663,4, MONTERO (Call Me By Your Name) by Lil Nas X ,"38,927,630",2021-05-21,2021-05-28,MONTERO (Call Me By Your Name),2021-03-31,Lil Nas X,None,137875,True,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
